business_name,address,city,category,rating,review_text,review_length,review_words
Bihari Express,"bihari express, 40/3, 2nd Main Rd, Somasundarapalaya, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068, India","BTM,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Cinnamon - Continental Delicacies By Ambrosia,"Cinnamon - Continental Delicacies by Ambrosia, 566/572, 7th Cross Rd, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066, India","Whitefield,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Slurpy Shakes,"Slurpy Shakes, Hotel Regenta Central Antarim, Ahmedabad, Between Girish Cold Drink and St.Xavier's Corner, Uma Shankar Joshi Marg, Navrangpura, Ahmedabad, Gujarat, Ahmedabad Municipal Corporation, Ahmedabad, Guj","Navrangpura,Ahmedabad",restaurant,4.2,Nice place with tasty food. Slight issues with timing.,54,9
Shree Swaminarayan Food Center,"Shree Swaminarayan Food Center, a-1\011 sun view tower nr bhuyangdev char rasta ghatlodia ahmedabad","Ghatlodia,Ahmedabad",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Brindhavana Nithya Bhojanalaya,"BRINDHAVANA NITHYA BHOJANALAYA, 181, 1st cross, 1st main, Sarvabouma Nagar, Chikkallsandra, Banashankari, Bengaluru, Karnataka 560061, India","Kumaraswamy Layout & Uttarahalli,Bangalore",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Kumkum Snacks,"Kumkum Snacks, No. 11, Rifco Santosh Apartment, Wind Tunnel Road, Murugeshpalya, Bangalore , Shanthinagara 560017","Indiranagar,Bangalore",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
Zaza 22 Spice Biryani,"ZAZA 22 Spice Biryani, 5/3, Kundalahalli Gate Varthur Main Road, Opposite SKR Kalyana Mantapa","Marathahalli,Bangalore",restaurant,4.0,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Sher-E-Punjab Dhaba,"Sher-E-Punjab Dhaba, Sher E Punjab Hotel Opp IOC D Cabin  Sabarmati Ahmedabad, Sabarmati ,  Ahmedabad Municipal Corporation, Gujarat-380019","Chandkheda,Ahmedabad",restaurant,3.0,"Food was okay, average experience.",34,5
Darjeeling Super Momos,"Darjeeling Super Momos, No. 67, 1st Main Road, 4th Cross, SG Palya, Bangalore, BTM Layout , B.B.M.P South, Karnataka - 560029","BTM,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Prajapati Live Handvo And  Maggi,"Prajapati Live Handvo And  Maggi, 2, MAHARSHI AVENUE, ANKUR CHAR RASTA, NARANPURA,380013","Naranpura,Ahmedabad",restaurant,5.0,Absolutely loved it — excellent taste and friendly staff.,57,9
Pasta Street,"Pasta Street, No.74,15th Cross road,Sarakki Industrial layout,JP nagar,3rd Phase,Bangalore-560078","JP Nagar,Bangalore",restaurant,4.3,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Prm Biryani,"PRM BIRYANI, NUMBER 80 3RD MAIN NEW THIPPASANDRA SHANTHINAGARA BANGALORE 560075","Indiranagar,Bangalore",restaurant,3.0,Quality is inconsistent — had better visits before.,51,8
Lovely Food,"Lovely Food, SHOP NO. 34 , HIRADHAN CITY NEAR ADITYA RESIDENCY CHANDKHEDA AHMEDABAD ,GUJARAT 382424","Chandkheda,Ahmedabad",restaurant,2.0,"Below expectations, probably won't return soon.",47,6
New Gfc Hotel,"New GFC HOTEL, 3031, 14th Cross Rd, Siddanna Layout, Banashankari Stage II, Basavanagudi, Bengaluru, Karnataka 560070, India","Banashankari,Bangalore",restaurant,3.0,It was fine; price felt slightly high for the portion.,54,10
Bateel,"Bateel, Iscon Emporio, Shop No.134, 1st floor, Beside Star bazar, Satellite Road, Jodhpur Cross Roads Ahmedabad - 380015","Vastrapur,Ahmedabad",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Mba In Khichdi,"MBA In Khichdi, STAR BOY PIZZA SHOP NO.-6 K B ROYAL HOMES OPPSITE SWATI RESIDENCY 5 , Chandkheramotera(West Zone), Ahmedabad Municipal Corporation, Ahmedabad, Gujarat - 382424","Chandkheda,Ahmedabad",restaurant,1.0,Very bad food and rude staff. Avoid this place.,47,9
Sayaam Kitchen,"Sayaam Kitchen, SAYAAM KITCHEN, 2nd Cross Road, Kodihalli, Bengaluru, Karnataka, India","Indiranagar,Bangalore",restaurant,3.0,It was fine; price felt slightly high for the portion.,54,10
Shree Bhairavnath Punjabi Bhojnalay,"Shree Bhairavnath Punjabi Bhojnalay, SHOP NO 4 , ALANKAR COMPLEX, NEAR OLD RAILWAY CROSSING, MANINAGAR, AHMEDABAD - 380008 , District - Ahmedabad Municipal Corporation, STATE - Gujarat-380008","Maninagar,Ahmedabad",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
New Udupi Upahara,"NEW UDUPI UPAHARA, Ground Floor , Varthur Main Road ,Near  Sigma  Tech  Park  ,  ,  Ramagondanahalli  ,  Bengaluru,  Netambit  -  560066","Whitefield,Bangalore",restaurant,4.1,Nice place with tasty food. Slight issues with timing.,54,9
Kings Momos,"Kings Momos, Kattigenahalli, Yelahanka, Sathanur, Karnataka 560064, India","Yelahanka,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Noodle King Asian Bowls,"Noodle King Asian Bowls, New Temple Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066","Whitefield,Bangalore",restaurant,3.9,Very good food and good service. Would recommend.,49,8
Thalasery House,"Thalasery House, NO 103/77 SRINIVASA REDDY BUILDING,NEAR INFOSYS GATE NO 06 KONAPPANA,AGRAHARA ELECTRONIC CITY, Bangalore South, Bangalore","Electronic City,Bangalore",restaurant,2.0,Service was unhelpful and waited too long.,42,7
Jugaadi Adda,"JUGAADI ADDA, G-09, Silver Avenue, Apartment Motera, New CG Rd, Chandkheda, Ahmedabad, Gujarat 380005","Chandkheda,Ahmedabad",restaurant,3.7,Very good food and good service. Would recommend.,49,8
Karnavati Snacks,"Karnavati Snacks, Shop:- 385/3, Ground Floor, Nr. Indian Overseas Bank, Sector - 16, Gandhinagar.382016","Gandhinagar,Ahmedabad",restaurant,3.5,Nice place with tasty food. Slight issues with timing.,54,9
Andhra Inti Ruchulu,"ANDHRA INTI RUCHULU, #85, New Pwd main road,AKASHNAGAR , B Narayanapura , banglore","CV Raman Nagar,Bangalore",restaurant,4.2,Good experience overall. Worth a repeat visit.,46,7
Shree Jay Jalaram Dairy Farm,"Shree Jay Jalaram Dairy Farm, 1 kimsim complex, Nr Swastik Cross Roads, Opp Kiran Motors, Ahmedabad","Navrangpura,Ahmedabad",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Anand Sweets And Savouries,"Anand Sweets and Savouries, #8, Commercial Street, Banaglore - 08","Central Bangalore,Bangalore",restaurant,4.6,"Fantastic experience, will visit again. Great ambience too.",59,8
Ministry Of Momos,"Ministry Of Momos, Shop Address-GF- 17, MANGALJYOT COMPLEX, JODHPUR CROSS ROAD, JODHPUR GAM ROAD,  SATELLITE-- 380015","Vastrapur,Ahmedabad",restaurant,1.0,Horrible service and unclean environment.,41,5
Donne Biryani Mane,"DONNE BIRYANI MANE, 2, 3rd Main Rd, Krishnarajapura, Bengaluru, Karnataka 560036, India","Battarahalli,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Zaatar Spice,"ZAATAR SPICE, NUMBER 734,MICO MAIN  ROAD,CHENNAKESHAVA NAGAR,HOSA  ROAD,ELECTRONIC CITY  POST,BENGALURU-560100 ,  Bommanahalli , B.B.M.P South,  Karnataka-560100","Electronic City,Bangalore",restaurant,2.0,Service was unhelpful and waited too long.,42,7
Sardarji Ka Kitchen,"SardarJi Ka Kitchen, No 88, Koramangala 5th Block, Jyoti Nivas College Rd, Koramangala Industrial Layout, Bengaluru, Karnataka 560095","Koramangala,Bangalore",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Asha S Kitchen,"ASHA s KITCHEN, 56, Garden Layout Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India","HSR,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Cane Plus,"Cane Plus, NO 594 GROUND FLOOR 6TH CROSS HAL 3RD STAGE Jeevan Bhima Nagar BANGALORE-560075","Indiranagar,Bangalore",restaurant,1.0,Horrible service and unclean environment.,41,5
Donne Biryani @Traffic Jam,"Donne Biryani @Traffic Jam, No.33/3 Anjinappa complex Hennur. Bagalur main Road kothanur Bangalore- 560077","Geddalahalli,Bangalore",restaurant,4.2,Very good food and good service. Would recommend.,49,8
