gym_name,address,city,rating,review_text,,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,3,"Average gym, okay for basic workouts.",,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,5,Highly recommend this gym!,,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,5,Loved the ambience and machines.,,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,2,"Subpar experience, needs improvement.",,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,3,It's okay; nothing special.,,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,3,"Neutral experience, could be better.",,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,4,Very good gym with minor issues.,,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,5,Highly recommend this gym!,,
Afa Gym,"Above Bank Of Baroda, NIZAM COURT, Near MUNICIPAL DISPENSARY, Halim Ni Khadki, Shahpur, Ahmedabad - 380001",Ahmedabad,5,Great gym with helpful staff.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,1,Extremely disappointed with the facilities.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,4,Good equipment and friendly trainers.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,4,Very good gym with minor issues.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,1,Very rude staff and broken equipment.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,5,Loved the ambience and machines.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,4,Clean facility but can improve on timings.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,3,"Neutral experience, could be better.",,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,3,Equipment is fine but crowded sometimes.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,5,Highly recommend this gym!,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,5,Excellent trainers and clean equipment.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,3,"Neutral experience, could be better.",,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,2,Not satisfied with the trainer support.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,4,"Enjoyed the session, staff were helpful.",,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,5,Loved the ambience and machines.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,4,Solid place for workouts.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,1,"Terrible experience, avoid this gym.",,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,3,Decent place but expensive for services.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,5,Loved the ambience and machines.,,
AKSHAY'S GYM,"412 - 417 4th Floor Austomangal Complex, Near Rajasthan Hospitals, Shahibag, Ahmedabad - 380004",Ahmedabad,5,Excellent trainers and clean equipment.,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,5,Highly recommend this gym!,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,3,It's okay; nothing special.,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,4,"Enjoyed the session, staff were helpful.",,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,3,Decent place but expensive for services.,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,5,Highly recommend this gym!,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,4,Good equipment and friendly trainers.,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,4,Clean facility but can improve on timings.,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,3,Decent place but expensive for services.,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,5,Highly recommend this gym!,,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,3,"Average gym, okay for basic workouts.",,
Appex Gym Bapunagar,"1st Floor, Darshan Ind. Estate, Lal Bahadur Shastri Road, Nearby D-mart, Bapunagar, Ahmedabad - 380024",Ahmedabad,5,Best place to train in the area.,,
Armstrong The Gym - Ahmedabad's Biggest Gym,"3rd Floor, Gulmohar Park Mall, Satellite Road, Satellite, Ahmedabad - 380015",Ahmedabad,5,Highly recommend this gym!,,
Armstrong The Gym - Ahmedabad's Biggest Gym,"3rd Floor, Gulmohar Park Mall, Satellite Road, Satellite, Ahmedabad - 380015",Ahmedabad,5,Best place to train in the area.,,
